계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 세종특별자치시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2014년 01 월 ~ 2014년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201401,세종특별자치시,전체(시 / 군 / 구),주택용,"43,145 ","15,520,472 ","2,104,025,141 ",135.6 
201401,세종특별자치시,전체(시 / 군 / 구),일반용,"8,348 ","33,890,027 ","4,500,797,052 ",132.8 
201401,세종특별자치시,전체(시 / 군 / 구),교육용,58 ,"4,878,163 ","501,671,542 ",102.8 
201401,세종특별자치시,전체(시 / 군 / 구),산업용,"1,310 ","138,511,547 ","16,076,818,471 ",116.1 
201401,세종특별자치시,전체(시 / 군 / 구),농사용,"7,797 ","6,081,859 ","291,776,131 ",48.0 
201401,세종특별자치시,전체(시 / 군 / 구),가로등,"6,261 ","1,791,644 ","192,268,418 ",107.3 
201401,세종특별자치시,전체(시 / 군 / 구),심 야,"8,365 ","18,680,649 ","1,412,784,367 ",75.6 
201402,세종특별자치시,전체(시 / 군 / 구),주택용,"43,806 ","15,648,238 ","2,133,409,342 ",136.3 
201402,세종특별자치시,전체(시 / 군 / 구),일반용,"8,405 ","32,533,961 ","4,378,075,591 ",134.6 
201402,세종특별자치시,전체(시 / 군 / 구),교육용,57 ,"4,372,588 ","457,887,718 ",104.7 
201402,세종특별자치시,전체(시 / 군 / 구),산업용,"1,317 ","123,145,833 ","14,829,616,847 ",120.4 
201402,세종특별자치시,전체(시 / 군 / 구),농사용,"7,783 ","6,197,003 ","296,711,036 ",47.9 
201402,세종특별자치시,전체(시 / 군 / 구),가로등,"6,328 ","1,711,056 ","194,430,271 ",113.6 
201402,세종특별자치시,전체(시 / 군 / 구),심 야,"8,333 ","18,050,809 ","1,361,954,362 ",75.5 
201403,세종특별자치시,전체(시 / 군 / 구),주택용,"44,078 ","13,518,457 ","1,654,879,734 ",122.4 
201403,세종특별자치시,전체(시 / 군 / 구),일반용,"8,448 ","28,206,064 ","3,737,969,664 ",132.5 
201403,세종특별자치시,전체(시 / 군 / 구),교육용,62 ,"4,104,976 ","394,248,537 ",96.0 
201403,세종특별자치시,전체(시 / 군 / 구),산업용,"1,314 ","140,742,883 ","13,597,283,655 ",96.6 
201403,세종특별자치시,전체(시 / 군 / 구),농사용,"12,692 ","5,377,797 ","259,977,483 ",48.3 
201403,세종특별자치시,전체(시 / 군 / 구),가로등,"6,344 ","1,636,749 ","186,978,441 ",114.2 
201403,세종특별자치시,전체(시 / 군 / 구),심 야,"8,297 ","14,443,189 ","951,939,020 ",65.9 
201404,세종특별자치시,전체(시 / 군 / 구),주택용,"44,393 ","15,111,954 ","1,772,274,575 ",117.3 
