계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 세종특별자치시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2020년 01 월 ~ 2020년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202002,세종특별자치시,세종시,농사용,"9,515 ","7,506,138 ","364,914,540 ",48.6 
202002,세종특별자치시,세종시,산업용,"1,632 ","144,025,757 ","17,974,224,679 ",124.8 
202002,세종특별자치시,세종시,심 야,"7,324 ","11,977,089 ","898,146,544 ",75 
202002,세종특별자치시,세종시,일반용,"13,425 ","63,368,185 ","8,814,110,708 ",139.1 
202002,세종특별자치시,세종시,주택용,"53,286 ","46,599,774 ","5,159,685,189 ",110.7 
202002,세종특별자치시,세종시,합계,"98,677 ","283,274,957 ","34,250,489,993 ",120.9 
202003,세종특별자치시,세종시,가로등,"13,476 ","2,781,722 ","315,925,329 ",113.6 
202003,세종특별자치시,세종시,교육용,143 ,"5,684,412 ","597,931,094 ",105.2 
202003,세종특별자치시,세종시,농사용,"14,407 ","6,821,610 ","332,382,397 ",48.7 
202003,세종특별자치시,세종시,산업용,"1,632 ","154,685,847 ","14,451,682,837 ",93.4 
202003,세종특별자치시,세종시,심 야,"7,297 ","9,779,815 ","647,019,546 ",66.2 
202003,세종특별자치시,세종시,일반용,"13,453 ","57,207,322 ","7,369,718,888 ",128.8 
202003,세종특별자치시,세종시,주택용,"53,321 ","43,588,124 ","4,571,390,976 ",104.9 
202003,세종특별자치시,세종시,합계,"103,729 ","280,548,852 ","28,286,051,067 ",100.8 
202004,세종특별자치시,세종시,가로등,"13,562 ","2,725,383 ","318,390,941 ",116.8 
202004,세종특별자치시,세종시,교육용,143 ,"4,556,805 ","424,085,745 ",93.1 
202004,세종특별자치시,세종시,농사용,"9,558 ","6,121,652 ","304,288,701 ",49.7 
202004,세종특별자치시,세종시,산업용,"1,636 ","147,549,374 ","13,364,118,435 ",90.6 
202004,세종특별자치시,세종시,심 야,"7,277 ","7,694,798 ","418,290,955 ",54.4 
202004,세종특별자치시,세종시,일반용,"13,511 ","51,109,127 ","6,226,001,078 ",121.8 
202004,세종특별자치시,세종시,주택용,"53,367 ","44,849,380 ","4,830,177,162 ",107.7 
202004,세종특별자치시,세종시,합계,"99,054 ","264,606,519 ","25,885,353,017 ",97.8 
202005,세종특별자치시,세종시,가로등,"13,587 ","2,529,567 ","304,618,684 ",120.4 
202005,세종특별자치시,세종시,교육용,143 ,"4,034,321 ","384,948,156 ",95.4 
202005,세종특별자치시,세종시,농사용,"9,621 ","6,044,708 ","297,456,108 ",49.2 
202005,세종특별자치시,세종시,산업용,"1,643 ","142,536,925 ","13,026,509,917 ",91.4 
202005,세종특별자치시,세종시,심 야,"7,260 ","4,943,733 ","270,776,636 ",54.8 
202005,세종특별자치시,세종시,일반용,"13,516 ","50,274,533 ","6,168,797,692 ",122.7 
202005,세종특별자치시,세종시,주택용,"53,442 ","41,938,394 ","4,312,157,691 ",102.8 
202005,세종특별자치시,세종시,합계,"99,212 ","252,302,181 ","24,765,264,884 ",98.2 
202006,세종특별자치시,세종시,가로등,"13,615 ","2,403,537 ","296,785,535 ",123.5 
202006,세종특별자치시,세종시,교육용,143 ,"4,556,885 ","509,865,479 ",111.9 
202006,세종특별자치시,세종시,농사용,"9,703 ","6,877,335 ","329,675,480 ",47.9 
202006,세종특별자치시,세종시,산업용,"1,644 ","150,826,418 ","17,440,576,056 ",115.6 
202006,세종특별자치시,세종시,심 야,"7,260 ","2,601,958 ","148,092,717 ",56.9 
202006,세종특별자치시,세종시,일반용,"13,570 ","58,582,865 ","8,180,813,416 ",139.6 
202006,세종특별자치시,세종시,주택용,"53,556 ","43,500,041 ","4,507,917,699 ",103.6 
202006,세종특별자치시,세종시,합계,"99,491 ","269,349,039 ","31,413,726,382 ",116.6 
