계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 세종특별자치시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2013년 07 월 ~ 2013년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201307,세종특별자치시,세종시,산업용,"1,287 ","142,396,665 ","15,720,893,243 ",110.4 
201307,세종특별자치시,세종시,심 야,"8,375 ","2,475,294 ","140,921,878 ",56.9 
201307,세종특별자치시,세종시,일반용,"7,829 ","23,046,287 ","3,022,178,540 ",131.1 
201307,세종특별자치시,세종시,주택용,"38,711 ","12,635,901 ","1,461,544,128 ",115.7 
201307,세종특별자치시,세종시,합계,"70,193 ","189,804,738 ","21,068,556,418 ",111 
201308,세종특별자치시,세종시,가로등,"6,181 ","1,310,356 ","151,442,694 ",115.6 
201308,세종특별자치시,세종시,교육용,86 ,"2,912,765 ","377,538,976 ",129.6 
201308,세종특별자치시,세종시,농사용,"7,786 ","6,856,292 ","314,891,832 ",45.9 
201308,세종특별자치시,세종시,산업용,"1,291 ","148,029,349 ","15,882,713,680 ",107.3 
201308,세종특별자치시,세종시,심 야,"8,344 ","2,056,067 ","119,114,239 ",57.9 
201308,세종특별자치시,세종시,일반용,"7,895 ","25,790,180 ","3,732,154,652 ",144.7 
201308,세종특별자치시,세종시,주택용,"39,234 ","14,986,734 ","2,088,665,177 ",139.4 
201308,세종특별자치시,세종시,합계,"70,817 ","201,941,743 ","22,666,521,250 ",112.2 
201309,세종특별자치시,세종시,가로등,"6,191 ","1,371,600 ","153,410,284 ",111.8 
201309,세종특별자치시,세종시,교육용,88 ,"2,910,172 ","337,528,506 ",116 
201309,세종특별자치시,세종시,농사용,"7,831 ","6,761,456 ","305,091,849 ",45.1 
201309,세종특별자치시,세종시,산업용,"1,299 ","136,443,787 ","12,719,614,025 ",93.2 
201309,세종특별자치시,세종시,심 야,"8,330 ","2,226,757 ","124,995,609 ",56.1 
201309,세종특별자치시,세종시,일반용,"7,964 ","23,878,770 ","3,224,358,386 ",135 
201309,세종특별자치시,세종시,주택용,"40,061 ","13,906,054 ","1,766,612,233 ",127 
201309,세종특별자치시,세종시,합계,"71,764 ","187,498,596 ","18,631,610,892 ",99.4 
201310,세종특별자치시,세종시,가로등,"6,199 ","1,484,112 ","157,104,989 ",105.9 
201310,세종특별자치시,세종시,교육용,88 ,"2,727,137 ","276,506,471 ",101.4 
201310,세종특별자치시,세종시,농사용,"7,834 ","4,631,925 ","229,239,204 ",49.5 
201310,세종특별자치시,세종시,산업용,"1,301 ","140,404,868 ","12,448,679,235 ",88.7 
201310,세종특별자치시,세종시,심 야,"8,330 ","4,244,264 ","225,976,795 ",53.2 
201310,세종특별자치시,세종시,일반용,"8,027 ","19,820,380 ","2,510,855,083 ",126.7 
201310,세종특별자치시,세종시,주택용,"40,554 ","12,342,523 ","1,390,793,046 ",112.7 
201310,세종특별자치시,세종시,합계,"72,333 ","185,655,209 ","17,239,154,823 ",92.9 
201311,세종특별자치시,세종시,가로등,"6,211 ","1,591,478 ","165,341,750 ",103.9 
201311,세종특별자치시,세종시,교육용,89 ,"3,389,384 ","362,783,993 ",107 
201311,세종특별자치시,세종시,농사용,"12,812 ","6,837,391 ","277,929,426 ",40.6 
201311,세종특별자치시,세종시,산업용,"1,306 ","138,528,461 ","15,390,322,538 ",111.1 
201311,세종특별자치시,세종시,심 야,"8,355 ","10,323,951 ","642,487,666 ",62.2 
201311,세종특별자치시,세종시,일반용,"8,094 ","23,430,982 ","3,058,926,985 ",130.6 
201311,세종특별자치시,세종시,주택용,"41,473 ","13,660,058 ","1,634,302,360 ",119.6 
201311,세종특별자치시,세종시,합계,"78,340 ","197,761,705 ","21,532,094,718 ",108.9 
201312,세종특별자치시,세종시,가로등,"6,217 ","1,641,483 ","171,937,807 ",104.7 
201312,세종특별자치시,세종시,교육용,59 ,"4,718,514 ","497,378,006 ",105.4 
201312,세종특별자치시,세종시,농사용,"7,845 ","5,029,597 ","247,532,371 ",49.2 
201312,세종특별자치시,세종시,산업용,"1,307 ","142,610,768 ","16,488,223,820 ",115.6 
201312,세종특별자치시,세종시,심 야,"8,370 ","16,115,636 ","1,204,091,344 ",74.7 
201312,세종특별자치시,세종시,일반용,"8,206 ","29,622,014 ","4,019,627,789 ",135.7 
201312,세종특별자치시,세종시,주택용,"42,183 ","14,491,823 ","1,833,178,791 ",126.5 
201312,세종특별자치시,세종시,합계,"74,187 ","214,229,835 ","24,461,969,928 ",114.2 
