"계약종별 전력사용량 월별( 20220804 현재 )","","","","","","",""
"시도 : 전라남도, 시군구 : 전체(시 / 군 / 구)","","","","","","",""
"기간 : 2014년 01 월 ~ 2014년 06월","","","","","","",""
"년월","시구","시군구","계약구분","고객호수(호)","사용량(kWh)","전기요금(원)","평균판매단가(원/kWh)"
"201401","전라남도","전체(시 / 군 / 구)","주택용","694,752 ","202,722,245 ","26,863,058,310 ","132.5 "
"201401","전라남도","전체(시 / 군 / 구)","일반용","135,007 ","312,327,251 ","41,273,955,014 ","132.1 "
"201401","전라남도","전체(시 / 군 / 구)","교육용","1,302 ","26,798,641 ","3,244,039,184 ","121.1 "
"201401","전라남도","전체(시 / 군 / 구)","산업용","18,634 ","1,728,316,234 ","182,226,522,281 ","105.4 "
"201401","전라남도","전체(시 / 군 / 구)","농사용","231,446 ","259,329,206 ","12,169,126,116 ","46.9 "
"201401","전라남도","전체(시 / 군 / 구)","가로등","130,825 ","19,763,979 ","2,083,914,027 ","105.4 "
"201401","전라남도","전체(시 / 군 / 구)","심 야","51,024 ","119,592,271 ","9,002,078,411 ","75.3 "
"201402","전라남도","전체(시 / 군 / 구)","주택용","695,227 ","205,697,875 ","27,607,640,859 ","134.2 "
"201402","전라남도","전체(시 / 군 / 구)","일반용","135,250 ","303,289,518 ","40,381,680,675 ","133.1 "
"201402","전라남도","전체(시 / 군 / 구)","교육용","1,310 ","23,871,023 ","2,996,287,168 ","125.5 "
"201402","전라남도","전체(시 / 군 / 구)","산업용","18,666 ","1,602,807,000 ","177,167,387,955 ","110.5 "
"201402","전라남도","전체(시 / 군 / 구)","농사용","231,585 ","267,148,453 ","12,501,899,539 ","46.8 "
"201402","전라남도","전체(시 / 군 / 구)","가로등","131,011 ","18,345,240 ","2,071,205,036 ","112.9 "
"201402","전라남도","전체(시 / 군 / 구)","심 야","50,962 ","120,612,386 ","9,061,081,812 ","75.1 "
"201403","전라남도","전체(시 / 군 / 구)","주택용","695,889 ","178,954,002 ","21,100,743,458 ","117.9 "
"201403","전라남도","전체(시 / 군 / 구)","일반용","135,402 ","265,933,635 ","33,689,768,995 ","126.7 "
"201403","전라남도","전체(시 / 군 / 구)","교육용","1,309 ","24,769,056 ","2,770,383,575 ","111.8 "
"201403","전라남도","전체(시 / 군 / 구)","산업용","18,683 ","1,965,736,751 ","173,101,520,169 ","88.1 "
"201403","전라남도","전체(시 / 군 / 구)","농사용","346,433 ","255,689,351 ","11,908,784,286 ","46.6 "
"201403","전라남도","전체(시 / 군 / 구)","가로등","131,423 ","17,337,875 ","1,969,066,954 ","113.6 "
"201403","전라남도","전체(시 / 군 / 구)","심 야","50,911 ","96,198,747 ","6,393,724,159 ","66.5 "
"201404","전라남도","전체(시 / 군 / 구)","주택용","696,607 ","188,536,821 ","22,977,261,660 ","121.9 "
"201404","전라남도","전체(시 / 군 / 구)","일반용","135,875 ","256,968,916 ","29,399,106,336 ","114.4 "
"201404","전라남도","전체(시 / 군 / 구)","교육용","1,304 ","24,289,804 ","2,504,007,778 ","103.1 "
"201404","전라남도","전체(시 / 군 / 구)","산업용","18,661 ","1,901,328,458 ","169,999,750,486 ","89.4 "
"201404","전라남도","전체(시 / 군 / 구)","농사용","256,227 ","243,709,503 ","11,285,986,015 ","46.3 "
"201404","전라남도","전체(시 / 군 / 구)","가로등","131,675 ","17,002,182 ","2,025,825,309 ","119.2 "
"201404","전라남도","전체(시 / 군 / 구)","심 야","50,838 ","78,105,933 ","4,230,866,614 ","54.2 "
