계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 서울특별시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2012년 07 월 ~ 2012년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201207,서울특별시,전체(시 / 군 / 구),주택용,"2,560,545 ","1,125,530,619 ","145,154,617,820 ",129.0 
201207,서울특별시,전체(시 / 군 / 구),일반용,"518,622 ","2,288,831,156 ","260,352,187,978 ",113.7 
201207,서울특별시,전체(시 / 군 / 구),교육용,"5,487 ","140,472,700 ","15,342,659,012 ",109.2 
201207,서울특별시,전체(시 / 군 / 구),산업용,"45,245 ","433,159,305 ","41,988,310,804 ",96.9 
201207,서울특별시,전체(시 / 군 / 구),농사용,"1,894 ","1,485,047 ","66,104,229 ",44.5 
201207,서울특별시,전체(시 / 군 / 구),가로등,"112,752 ","25,794,278 ","2,651,279,117 ",102.8 
201207,서울특별시,전체(시 / 군 / 구),심 야,"20,827 ","60,574,324 ","3,757,467,483 ",62.0 
201208,서울특별시,전체(시 / 군 / 구),주택용,"2,565,544 ","1,416,388,453 ","244,258,089,548 ",172.5 
201208,서울특별시,전체(시 / 군 / 구),일반용,"519,150 ","2,567,049,558 ","325,782,096,614 ",126.9 
201208,서울특별시,전체(시 / 군 / 구),교육용,"5,484 ","141,820,741 ","17,502,863,808 ",123.4 
